Results for "All" setting
Passage, Question  , FScore, Exact Match
EN    , En       , 74.0 , 60.2 
EN    , MSA      , 62.7 , 47.7 
EN    , Iraqi    , 46.2 , 31.3 
EN    , Levantine, 51.2 , 36.5 
EN    , Gulf     , 52.6 , 37.4 
EN    , Moroccan , 38.5 , 21.0 
EN    , Egyptian , 51.5 , 36.2 
EN    , DA--Avg. , 53.8 , 38.6 

MSA   , En       , 62.3 , 46.8 
MSA   , MSA      , 64.3 , 46.2 
MSA   , Iraqi    , 51.2 , 35.0 
MSA   , Levantine, 55.7 , 38.6 
MSA   , Gulf     , 58.4 , 40.7 
MSA   , Moroccan , 46.6 , 30.1 
MSA   , Egyptian , 56.6 , 39.2 
MSA   , DA--Avg. , 56.4 , 39.5 

Results for "NoBB" setting
Passage, Question  , FScore, Exact Match
EN    , En       , 79.5 , 65.6 
EN    , MSA      , 65.6 , 51.2 
EN    , Iraqi    , 47.8 , 33.0 
EN    , Levantine, 53.7 , 39.6 
EN    , Gulf     , 54.2 , 38.9 
EN    , Moroccan , 39.3 , 22.1 
EN    , Egyptian , 54.0 , 39.3 
EN    , DA--Avg. , 56.3 , 41.4 

MSA   , En       , 66.7 , 50.9 
MSA   , MSA      , 68.1 , 49.5 
MSA   , Iraqi    , 55.6 , 39.3 
MSA   , Levantine, 60.4 , 43.2 
MSA   , Gulf     , 61.3 , 44.2 
MSA   , Moroccan , 49.6 , 33.3 
MSA   , Egyptian , 59.5 , 42.5 
MSA   , DA--Avg. , 60.2 , 43.3 

