Results for "All" setting
Passage, Question  , FScore, Exact Match
EN    , En       , 71.0 , 50.5 ,
EN    , MSA      , 59.9 , 39.8 ,
EN    , Iraqi    , 44.5 , 27.7 ,
EN    , Levantine, 49.5 , 31.9 ,
EN    , Gulf     , 50.4 , 31.3 ,
EN    , Moroccan , 36.3 , 18.5 ,
EN    , Egyptian , 48.8 , 30.1 ,
EN    , DA--Avg. , 45.9 , 27.9 ,1645

MSA   , En       , 60.4 , 41.6 ,
MSA   , MSA      , 62.0 , 40.7 ,
MSA   , Iraqi    , 50.3 , 32.2 ,
MSA   , Levantine, 54.2 , 35.3 ,
MSA   , Gulf     , 56.6 , 36.2 ,
MSA   , Moroccan , 45.1 , 26.7 ,
MSA   , Egyptian , 54.5 , 34.0 ,
MSA   , DA--Avg. , 52.1 , 32.9 ,1645

Results for "NoBB" setting
Passage, Question  , FScore, Exact Match
EN    , En       , 76.6 , 56.1 ,
EN    , MSA      , 62.9 , 43.5 ,
EN    , Iraqi    , 46.0 , 29.5 ,
EN    , Levantine, 51.9 , 35.1 ,
EN    , Gulf     , 52.1 , 33.0 ,
EN    , Moroccan , 37.0 , 20.0 ,
EN    , Egyptian , 51.3 , 33.3 ,
EN    , DA--Avg. , 47.7 , 30.2 ,1425

MSA   , En       , 64.5 , 46.0 ,
MSA   , MSA      , 65.6 , 44.2 ,
MSA   , Iraqi    , 54.2 , 36.1 ,
MSA   , Levantine, 58.5 , 39.3 ,
MSA   , Gulf     , 59.3 , 39.6 ,
MSA   , Moroccan , 48.1 , 29.8 ,
MSA   , Egyptian , 57.3 , 37.5 ,
MSA   , DA--Avg. , 55.5 , 36.5 ,1425

